id,name,age,salary,department,email,experience_years,rating
68.0,Person_68,75.0,31258.34,HR,person68@company.com,9.0,4.8
69.0,,26.0,79176.73,Sales,person69@company.com,18.0,4.4
70.0,Peron_70,43.0,47699.95,Engineering,persn70@company.com,16.0,2.4
71.0,Person_71,70.0,36395.19,Engineering,person71@company.com,18.0,5.012696731633263
72.0,Person_72,19.0,,HR,eprson72@company.com,4.0,3.7
69.96296003160091,Person_73,37.0,42753.16,Sales,prson7@3company.com,8.0,2.9
74.0,Person_74,45.0,41452.57,Sales,person74@company.com,11.0,3.0
75.0,Persno_75,64.0,18626.0,Finance,person75@compjny.com,0.0,1.3
76.0,Person_76,77.0,68956.11,,person76@company.com,,1.4
77.0,Person_77,24.0,49767.75,Sales,person77@company.com, 14.0 ,3.4
78.0,Person_78,61.0,49589.35,,person78@company.com,1.0,3.2
79.0,Person_79,78.0,62268.1,arketing5,persno79@company.com,15.0,1.9
80.0,Person_80,25.0,34180.93,Financ,person80@company.com,7.0,4.8
81.0,Person_81,64.0,38625.09,Enpgineering,person81@company.com,12.0,4.1
82.0,,52.0,56861.23abc,HR,person82@company.com,0.0,1.5
83.0,Person_83,31.0,49034.33,Engineering,person83@company.com,15.0,4.7
84.0,Pesron_84,34.0,55173.54,Finance,person84@company.9com,6.0,4.9
85.0,Person_85,53.0,48798.69,HR,person85@company.com,4.0,5.0
86.0,Person_86,67.0,46379.3,Finance,person86@company.com,2.0,1.2
87.0,,57.0,71502.73,Sales,person87@company.com,11.0,3.9
88.0,Person_88,21.0,65986.91,HR,person88@company.com,15.0,3.2
89.0,Person_89,19.0,12518.61,Sales,pnerson89@compan7y.com,18.0,3.8abc
90.0,Person_903,79.0,72204.93,Engineering,person90@company.com,,4.9
91.0,Person_91,23.0,82380.93,Engineering,person91@company.cnm,13.0,3.8
92.0,Person_92,71.0,68476.68,HR,perso9n2@company.com,,4.3
93.0,Person_93,59.0x,46785.13,HR,person93@dompany.com,14.0,4.5
94.0,Person_94,21.0,39662.09,Finance,person94@company.com,16.0,4.4
95.0,Person_95,71.0,60917.5,Finance,person95@company.com,13.0,2.7
96.0,Person_96,46.0,40713.96,Sales,person96@company.com,19.0,1.9
97.0,Person_97,35.0,55342.4,HR,person97@company.com,4.0,2.6
98.0,Person_98,43.0,49671.79,Engineering,,11.0,4.6
99.0,Pesron_99,61.0,68270.76,Finance,person99@company.czm,15.0,1.6
100.0,Person_100,51.0,44158.13,Finance,person100@company.com,15.0,3.1
