id,name,age,salary,department,email,experience_years,rating
86,Person_86,67,46379.3,Finance,person86@company.com,2,1.2
87,Person_87,57,71502.73,Sales,person87@company.com,11,3.9
88,Person_88,21,65986.91,HR,person88@company.com,15,3.2
89,Person_89,19,12518.61,Sales,person89@company.com,18,3.8
90,Person_90,79,72204.93,Engineering,person90@company.com,4,4.9
91,Person_91,23,82380.93,Engineering,person91@company.com,13,3.8
92,Person_92,71,68476.68,HR,person92@company.com,4,4.3
93,Person_93,59,46785.13,HR,person93@company.com,14,4.5
94,Person_94,21,39662.09,Finance,person94@company.com,16,4.4
95,Person_95,71,60917.5,Finance,person95@company.com,13,2.7
96,Person_96,46,40713.96,Sales,person96@company.com,19,1.9
97,Person_97,35,55342.4,HR,person97@company.com,4,2.6
98,Person_98,43,49671.79,Engineering,person98@company.com,11,4.6
99,Person_99,61,68270.76,Finance,person99@company.com,15,1.6
100,Person_100,51,44158.13,Finance,person100@company.com,15,3.1
